Timestep Origin,Integrated ACF
318000,245576952.39294332
320000,245797046.04006
322000,246143716.77267665
324000,247011902.35042337
326000,248481936.68239334
328000,250002743.01453665
330000,251713013.19323668
332000,253814268.32737663
334000,257874888.37926665
336000,263855240.52700666
338000,267697002.8597967
340000,269607649.19313663
342000,270412605.00924
344000,271098824.0409433
346000,272132310.2054133
348000,272257138.6765167
350000,271977918.8694534
352000,271588233.8444366
354000,270793921.71331334
356000,270091774.10384333
358000,269124715.44501
360000,267904719.3825967
362000,266952145.66498998
364000,266779561.41577333
366000,267485485.8948833
368000,268450524.46637
370000,269072229.7504467
372000,268563780.95093
374000,267368169.36851665
376000,266181604.03830665
378000,265553272.4121233
380000,266364012.82278004
382000,266700072.38255665
384000,265897562.6165467
386000,264888698.2691267
388000,263864701.65429667
390000,262626255.8218733
392000,261488230.7506
394000,260311597.82547668
396000,259046973.18383995
398000,258030232.25149998
400000,256961909.90225998
402000,255776928.43721333
404000,254572011.89616334
406000,253356640.93957666
408000,252375412.48169336
410000,251912511.74007332
412000,251034979.9720367
414000,250010326.6684066
416000,249278938.28375998
418000,248531085.65732667
420000,247709272.00292996
422000,246701136.66445
424000,245930077.45
426000,245330142.7329867
428000,244844266.86796668
430000,244549168.84706
432000,244169898.5000167
434000,244102153.43717337
436000,244340202.52678004
438000,244664976.1593033
440000,245019896.6113633
442000,244904033.71524337
444000,244647647.76369
446000,243855625.46338335
448000,242940284.60179666
450000,242265720.11047336
452000,241847571.9230433
454000,241402815.66542995
456000,240588651.58533666
458000,239704767.77029666
460000,238668823.28922665
462000,237665865.28983334
464000,236879220.58427334
466000,236064486.67974666
468000,235327622.6609667
470000,234710487.81370002
472000,234080149.5585533
474000,233365907.40986335
476000,232606772.86336672
478000,232339748.40610003
480000,232373321.3636733
482000,232188805.33433
484000,232290053.55000332
486000,232736253.26326007
488000,233182055.37143
490000,233574835.18657333
492000,234280493.53564
494000,234758414.1557467
496000,235397049.05092
498000,236249684.25008333
500000,237345934.0670333
502000,238307828.62480333
504000,239056566.41453668
506000,240034605.59274668
508000,240614337.11312333
510000,240581414.06638998
512000,240210470.2830333
514000,239773851.9177
516000,239059341.4205867
518000,238367175.14932668
520000,237662483.59523663
522000,236993426.95746002
524000,236425536.96758333
526000,236200166.92316002
528000,236203563.06951332
530000,236365442.15693668
532000,236487000.29571003
534000,236553191.5702967
536000,236862897.23072666
538000,237415356.77822
540000,237780067.20818663
542000,237654030.61295336
544000,237341204.4189267
546000,237342375.6476067
548000,237405325.02908334
550000,237167333.27152333
552000,236527328.06438667
554000,235992977.34820667
556000,235593772.09387335
558000,235419971.21058336
560000,235272035.64129332
562000,235261606.01510337
564000,235128237.58659336
566000,234901249.4396267
568000,234827373.01917
570000,234602313.86705664
572000,234437096.97396663
574000,233989460.40609
576000,233433955.27252668
578000,232881551.56347665
580000,232471789.77194667
582000,232249631.78353
584000,232052297.12090668
586000,231832906.17559335
588000,231336852.86709335
590000,230798011.21094665
592000,230307000.03423002
594000,229946632.7849067
596000,229987467.72660667
598000,229905855.6500833
600000,229723492.85888332
602000,229681739.81346998
604000,229424440.73842332
606000,228821405.79125667
608000,228169577.59086332
610000,227583221.30983335
612000,227093513.05529332
614000,226650095.02521998
616000,226233643.16327664
618000,225755185.7018033
620000,225685962.92506003
622000,225786488.01383668
624000,225385226.37061
626000,225166679.09689665
628000,225241245.59428334
630000,225047726.50881004
632000,224719217.93986666
634000,224597300.17078668
636000,224962605.46881333
638000,225115342.5724533
640000,224975843.56351
642000,224752126.62004668
644000,224545649.59907
646000,224701452.70944333
648000,225039310.09118327
650000,224978567.87161332
652000,224629530.98878336
654000,224141736.3819533
656000,223732832.51267666
658000,223177408.66295
660000,222626246.86063334
662000,222301251.93833
664000,221800724.51311335
666000,221226777.53044668
668000,220700047.31159335
670000,220334552.90706667
672000,220000773.96539667
674000,219843073.36948004
676000,219908801.03124332
678000,219884203.54332
680000,220009195.7104267
682000,220118423.98867
684000,220348257.30401334
686000,220440744.81012
688000,220415371.40847668
690000,220459081.05103332
692000,220557891.96956
694000,220458556.01903003
696000,220189147.97491664
698000,219798684.80437335
700000,219319220.56428
702000,219020977.19919336
704000,218591430.55352998
